date,country,suspected_cases,confirmed_cases,deaths,recoveries,case_fatality_rate_pct,source_url
12/15/15,Guinea,3,3807,453,0,11.9,https://data.humdata.org/dataset/ebola-cases-2014
12/15/15,Italy,0,1,0,0,0,https://data.humdata.org/dataset/ebola-cases-2014
12/15/15,Liberia,5636,10666,0,0,0,https://data.humdata.org/dataset/ebola-cases-2014
12/15/15,Mali,0,8,0,0,0,https://data.humdata.org/dataset/ebola-cases-2014
12/15/15,Nigeria,0,20,1,0,5,https://data.humdata.org/dataset/ebola-cases-2014
12/15/15,Senegal,0,1,0,0,0,https://data.humdata.org/dataset/ebola-cases-2014
12/15/15,Sierra Leone,5131,14122,208,0,1.47,https://data.humdata.org/dataset/ebola-cases-2014
12/15/15,Spain,0,1,0,0,0,https://data.humdata.org/dataset/ebola-cases-2014
12/15/15,United Kingdom,0,1,0,0,0,https://data.humdata.org/dataset/ebola-cases-2014
12/15/15,United States Of America,0,4,0,0,0,https://data.humdata.org/dataset/ebola-cases-2014
12/11/15,Guinea,0,3804,453,0,11.91,https://data.humdata.org/dataset/ebola-cases-2014
12/11/15,Italy,0,1,0,0,0,https://data.humdata.org/dataset/ebola-cases-2014
12/11/15,Liberia,5636,10666,0,0,0,https://data.humdata.org/dataset/ebola-cases-2014
12/11/15,Mali,0,8,0,0,0,https://data.humdata.org/dataset/ebola-cases-2014
12/11/15,Nigeria,0,20,1,0,5,https://data.humdata.org/dataset/ebola-cases-2014
12/11/15,Senegal,0,1,0,0,0,https://data.humdata.org/dataset/ebola-cases-2014
12/11/15,Sierra Leone,5131,14122,208,0,1.47,https://data.humdata.org/dataset/ebola-cases-2014
12/11/15,Spain,0,1,0,0,0,https://data.humdata.org/dataset/ebola-cases-2014
12/11/15,United Kingdom,0,1,0,0,0,https://data.humdata.org/dataset/ebola-cases-2014
12/11/15,United States Of America,0,4,0,0,0,https://data.humdata.org/dataset/ebola-cases-2014
12/10/15,Guinea,0,3804,453,0,11.91,https://data.humdata.org/dataset/ebola-cases-2014
12/10/15,Italy,0,1,0,0,0,https://data.humdata.org/dataset/ebola-cases-2014
12/10/15,Liberia,5636,10666,0,0,0,https://data.humdata.org/dataset/ebola-cases-2014
12/10/15,Mali,0,8,0,0,0,https://data.humdata.org/dataset/ebola-cases-2014
12/10/15,Nigeria,0,20,1,0,5,https://data.humdata.org/dataset/ebola-cases-2014
12/10/15,Senegal,0,1,0,0,0,https://data.humdata.org/dataset/ebola-cases-2014
12/10/15,Sierra Leone,5131,14122,208,0,1.47,https://data.humdata.org/dataset/ebola-cases-2014
12/10/15,Spain,0,1,0,0,0,https://data.humdata.org/dataset/ebola-cases-2014
12/10/15,United Kingdom,0,1,0,0,0,https://data.humdata.org/dataset/ebola-cases-2014
12/10/15,United States Of America,0,4,0,0,0,https://data.humdata.org/dataset/ebola-cases-2014
12/9/15,Guinea,0,3804,453,0,11.91,https://data.humdata.org/dataset/ebola-cases-2014
12/9/15,Italy,0,1,0,0,0,https://data.humdata.org/dataset/ebola-cases-2014
12/9/15,Liberia,5636,10666,0,0,0,https://data.humdata.org/dataset/ebola-cases-2014
12/9/15,Mali,0,8,0,0,0,https://data.humdata.org/dataset/ebola-cases-2014
12/9/15,Nigeria,0,20,1,0,5,https://data.humdata.org/dataset/ebola-cases-2014
12/9/15,Senegal,0,1,0,0,0,https://data.humdata.org/dataset/ebola-cases-2014
12/9/15,Sierra Leone,5131,14122,208,0,1.47,https://data.humdata.org/dataset/ebola-cases-2014
